Time_ms,ADC_Raw,V_measured,V_source,Current_A,Power_W
63404,10,0.032,0.003,0.000003,0
63539,20,0.065,0.006,0.000006,0
63718,36,0.116,0.011,0.000011,0
63853,32,0.103,0.01,0.00001,0
63988,3,0.01,0.001,0.000001,0
64131,10,0.032,0.003,0.000003,0
64266,25,0.081,0.008,0.000008,0
64401,26,0.084,0.008,0.000008,0
64536,4,0.013,0.001,0.000001,0
64671,4,0.013,0.001,0.000001,0
64806,43,0.139,0.014,0.000014,0
64941,37,0.119,0.012,0.000012,0
65076,22,0.071,0.007,0.000007,0
65211,15,0.048,0.005,0.000005,0
65346,14,0.045,0.004,0.000004,0
65481,46,0.148,0.015,0.000015,0
65616,27,0.087,0.009,0.000009,0
65751,44,0.142,0.014,0.000014,0
65895,22,0.071,0.007,0.000007,0
66037,26,0.084,0.008,0.000008,0
66172,4,0.013,0.001,0.000001,0
66307,3,0.01,0.001,0.000001,0
66442,17,0.055,0.005,0.000005,0
66577,14,0.045,0.004,0.000004,0
66712,30,0.097,0.01,0.000009,0
66847,41,0.132,0.013,0.000013,0
66982,4,0.013,0.001,0.000001,0
67117,10,0.032,0.003,0.000003,0
67252,25,0.081,0.008,0.000008,0
67387,3,0.01,0.001,0.000001,0
67522,4,0.013,0.001,0.000001,0
67666,18,0.058,0.006,0.000006,0
67801,24,0.077,0.008,0.000008,0
67936,4,0.013,0.001,0.000001,0
68071,11,0.035,0.004,0.000003,0
68206,14,0.045,0.004,0.000004,0
68341,4,0.013,0.001,0.000001,0
68476,12,0.039,0.004,0.000004,0
68611,4,0.013,0.001,0.000001,0
68746,4,0.013,0.001,0.000001,0
68881,3,0.01,0.001,0.000001,0
69016,4,0.013,0.001,0.000001,0
69151,4,0.013,0.001,0.000001,0
69286,2,0.006,0.001,0.000001,0
69430,3,0.01,0.001,0.000001,0
