Time_ms,ADC_Raw,V_measured,V_source,Current_A,Power_W
23704,3,0.01,0.001,0.000001,0
23749,4,0.013,0.001,0.000001,0
23794,3,0.01,0.001,0.000001,0
23839,3,0.01,0.001,0.000001,0
23884,4,0.013,0.001,0.000001,0
23929,4,0.013,0.001,0.000001,0
23974,4,0.013,0.001,0.000001,0
24019,3,0.01,0.001,0.000001,0
24072,3,0.01,0.001,0.000001,0
24117,2,0.006,0.001,0.000001,0
24162,5,0.016,0.002,0.000002,0
24207,4,0.013,0.001,0.000001,0
24252,1,0.003,0,0,0
24297,5,0.016,0.002,0.000002,0
24342,4,0.013,0.001,0.000001,0
24387,4,0.013,0.001,0.000001,0
24432,3,0.01,0.001,0.000001,0
24477,3,0.01,0.001,0.000001,0
24522,4,0.013,0.001,0.000001,0
24567,3,0.01,0.001,0.000001,0
24612,2,0.006,0.001,0.000001,0
24665,4,0.013,0.001,0.000001,0
24710,4,0.013,0.001,0.000001,0
24755,5,0.016,0.002,0.000002,0
24800,5,0.016,0.002,0.000002,0
24845,4,0.013,0.001,0.000001,0
24890,3,0.01,0.001,0.000001,0
24935,2,0.006,0.001,0.000001,0
24980,4,0.013,0.001,0.000001,0
25025,5,0.016,0.002,0.000002,0
25070,4,0.013,0.001,0.000001,0
25115,4,0.013,0.001,0.000001,0
25160,5,0.016,0.002,0.000002,0
25205,6,0.019,0.002,0.000002,0
25258,1,0.003,0,0,0
25303,2,0.006,0.001,0.000001,0
25348,4,0.013,0.001,0.000001,0
25393,4,0.013,0.001,0.000001,0
25438,4,0.013,0.001,0.000001,0
25528,4,0.013,0.001,0.000001,0
25573,3,0.01,0.001,0.000001,0
25618,2,0.006,0.001,0.000001,0
25663,3,0.01,0.001,0.000001,0
25708,4,0.013,0.001,0.000001,0
25753,3,0.01,0.001,0.000001,0
25798,3,0.01,0.001,0.000001,0
25843,5,0.016,0.002,0.000002,0
25896,4,0.013,0.001,0.000001,0
25941,6,0.019,0.002,0.000002,0
25986,4,0.013,0.001,0.000001,0
26031,4,0.013,0.001,0.000001,0
26076,3,0.01,0.001,0.000001,0
26121,6,0.019,0.002,0.000002,0
26166,3,0.01,0.001,0.000001,0
26211,4,0.013,0.001,0.000001,0
26256,4,0.013,0.001,0.000001,0
26301,5,0.016,0.002,0.000002,0
26346,2,0.006,0.001,0.000001,0
26391,4,0.013,0.001,0.000001,0
26436,2,0.006,0.001,0.000001,0
26489,3,0.01,0.001,0.000001,0
26534,3,0.01,0.001,0.000001,0
26579,4,0.013,0.001,0.000001,0
26624,2,0.006,0.001,0.000001,0
26669,2,0.006,0.001,0.000001,0
26714,4,0.013,0.001,0.000001,0
26759,4,0.013,0.001,0.000001,0
26804,5,0.016,0.002,0.000002,0
26849,6,0.019,0.002,0.000002,0
26894,2,0.006,0.001,0.000001,0
26939,3,0.01,0.001,0.000001,0
26984,2,0.006,0.001,0.000001,0
27029,5,0.016,0.002,0.000002,0
27074,4,0.013,0.001,0.000001,0
27127,3,0.01,0.001,0.000001,0
27172,4,0.013,0.001,0.000001,0
27217,3,0.01,0.001,0.000001,0
27262,4,0.013,0.001,0.000001,0
27307,5,0.016,0.002,0.000002,0
27352,4,0.013,0.001,0.000001,0
27397,4,0.013,0.001,0.000001,0
27442,4,0.013,0.001,0.000001,0
27487,3,0.01,0.001,0.000001,0
27532,4,0.013,0.001,0.000001,0
27577,5,0.016,0.002,0.000002,0
27622,4,0.013,0.001,0.000001,0
27667,4,0.013,0.001,0.000001,0
27720,5,0.016,0.002,0.000002,0
27765,4,0.013,0.001,0.000001,0
27810,5,0.016,0.002,0.000002,0
27855,3,0.01,0.001,0.000001,0
27900,5,0.016,0.002,0.000002,0
27945,4,0.013,0.001,0.000001,0
27990,4,0.013,0.001,0.000001,0
28035,4,0.013,0.001,0.000001,0
28087,4,0.013,0.001,0.000001,0
28132,4,0.013,0.001,0.000001,0
28177,3,0.01,0.001,0.000001,0
28222,1,0.003,0,0,0
28267,4,0.013,0.001,0.000001,0
28320,4,0.013,0.001,0.000001,0
28365,4,0.013,0.001,0.000001,0
28410,5,0.016,0.002,0.000002,0
28455,3,0.01,0.001,0.000001,0
28500,4,0.013,0.001,0.000001,0
28545,3,0.01,0.001,0.000001,0
28590,4,0.013,0.001,0.000001,0
28635,3,0.01,0.001,0.000001,0
28680,4,0.013,0.001,0.000001,0
28725,5,0.016,0.002,0.000002,0
28770,4,0.013,0.001,0.000001,0
28815,3,0.01,0.001,0.000001,0
28860,3,0.01,0.001,0.000001,0
28913,3,0.01,0.001,0.000001,0
28958,4,0.013,0.001,0.000001,0
29003,4,0.013,0.001,0.000001,0
29048,4,0.013,0.001,0.000001,0
29093,4,0.013,0.001,0.000001,0
29138,4,0.013,0.001,0.000001,0
29183,3,0.01,0.001,0.000001,0
29228,3,0.01,0.001,0.000001,0
29273,4,0.013,0.001,0.000001,0
29318,3,0.01,0.001,0.000001,0
29363,4,0.013,0.001,0.000001,0
29408,3,0.01,0.001,0.000001,0
29453,4,0.013,0.001,0.000001,0
29506,4,0.013,0.001,0.000001,0
29551,4,0.013,0.001,0.000001,0
29596,3,0.01,0.001,0.000001,0
29641,5,0.016,0.002,0.000002,0
29730,4,0.013,0.001,0.000001,0
29775,2,0.006,0.001,0.000001,0
29820,4,0.013,0.001,0.000001,0
29865,4,0.013,0.001,0.000001,0
29910,4,0.013,0.001,0.000001,0
29955,4,0.013,0.001,0.000001,0
30000,4,0.013,0.001,0.000001,0
30045,4,0.013,0.001,0.000001,0
30090,4,0.013,0.001,0.000001,0
30143,4,0.013,0.001,0.000001,0
30188,4,0.013,0.001,0.000001,0
30233,3,0.01,0.001,0.000001,0
30278,3,0.01,0.001,0.000001,0
30323,2,0.006,0.001,0.000001,0
