Time_ms,ADC_Raw,V_measured,V_source,Current_A,Power_W,,About 40 seconds per interval (20 seconds to change intervals)
17460,4,0.013,0.001,0.000001,0,,
17505,4,0.013,0.001,0.000001,0,,
17550,3,0.01,0.001,0.000001,0,,
17595,3,0.01,0.001,0.000001,0,,
17640,4,0.013,0.001,0.000001,0,,
17685,4,0.013,0.001,0.000001,0,,
17730,4,0.013,0.001,0.000001,0,,
17775,4,0.013,0.001,0.000001,0,,
17820,5,0.016,0.002,0.000002,0,,
17910,2,0.006,0.001,0.000001,0,,
17955,4,0.013,0.001,0.000001,0,,
18000,3,0.01,0.001,0.000001,0,,
18053,0,0,0,0,0,,
18098,4,0.013,0.001,0.000001,0,,
18143,4,0.013,0.001,0.000001,0,,
18188,3,0.01,0.001,0.000001,0,,
18233,4,0.013,0.001,0.000001,0,,
18278,4,0.013,0.001,0.000001,0,,
18323,1,0.003,0,0,0,,
18368,4,0.013,0.001,0.000001,0,,
18413,1,0.003,0,0,0,,
18458,4,0.013,0.001,0.000001,0,,
18503,3,0.01,0.001,0.000001,0,,
18548,3,0.01,0.001,0.000001,0,,
18593,5,0.016,0.002,0.000002,0,,
18646,2,0.006,0.001,0.000001,0,,
18691,4,0.013,0.001,0.000001,0,,
18736,5,0.016,0.002,0.000002,0,,
18781,4,0.013,0.001,0.000001,0,,
18826,4,0.013,0.001,0.000001,0,,
18871,3,0.01,0.001,0.000001,0,,
18916,6,0.019,0.002,0.000002,0,,
18961,4,0.013,0.001,0.000001,0,,
19006,2,0.006,0.001,0.000001,0,,
19051,4,0.013,0.001,0.000001,0,,
19096,3,0.01,0.001,0.000001,0,,
19141,4,0.013,0.001,0.000001,0,,
19186,5,0.016,0.002,0.000002,0,,
19243,4,0.013,0.001,0.000001,0,,
19288,3,0.01,0.001,0.000001,0,,
19333,5,0.016,0.002,0.000002,0,,
19378,4,0.013,0.001,0.000001,0,,
19423,2,0.006,0.001,0.000001,0,,
19468,2,0.006,0.001,0.000001,0,,
19513,3,0.01,0.001,0.000001,0,,
19558,5,0.016,0.002,0.000002,0,,
19603,4,0.013,0.001,0.000001,0,,
19648,3,0.01,0.001,0.000001,0,,
19693,4,0.013,0.001,0.000001,0,,
19738,3,0.01,0.001,0.000001,0,,
19783,4,0.013,0.001,0.000001,0,,
19834,0,0,0,0,0,,
19879,3,0.01,0.001,0.000001,0,,
19924,5,0.016,0.002,0.000002,0,,
19969,5,0.016,0.002,0.000002,0,,
20014,4,0.013,0.001,0.000001,0,,
20059,4,0.013,0.001,0.000001,0,,
20104,4,0.013,0.001,0.000001,0,,
20149,2,0.006,0.001,0.000001,0,,
20194,4,0.013,0.001,0.000001,0,,
20239,4,0.013,0.001,0.000001,0,,
20284,5,0.016,0.002,0.000002,0,,
20329,4,0.013,0.001,0.000001,0,,
20374,1,0.003,0,0,0,,
20427,4,0.013,0.001,0.000001,0,,
20472,2,0.006,0.001,0.000001,0,,
20517,5,0.016,0.002,0.000002,0,,
20562,4,0.013,0.001,0.000001,0,,
20607,5,0.016,0.002,0.000002,0,,
20652,3,0.01,0.001,0.000001,0,,
20697,4,0.013,0.001,0.000001,0,,
20742,4,0.013,0.001,0.000001,0,,
20787,4,0.013,0.001,0.000001,0,,
20832,5,0.016,0.002,0.000002,0,,
20877,5,0.016,0.002,0.000002,0,,
20922,2,0.006,0.001,0.000001,0,,
20967,3,0.01,0.001,0.000001,0,,
21020,3,0.01,0.001,0.000001,0,,
21065,3,0.01,0.001,0.000001,0,,
21110,4,0.013,0.001,0.000001,0,,
21155,1,0.003,0,0,0,,
21200,4,0.013,0.001,0.000001,0,,
21245,4,0.013,0.001,0.000001,0,,
21290,6,0.019,0.002,0.000002,0,,
21335,4,0.013,0.001,0.000001,0,,
21380,4,0.013,0.001,0.000001,0,,
21425,3,0.01,0.001,0.000001,0,,
21470,4,0.013,0.001,0.000001,0,,
21515,4,0.013,0.001,0.000001,0,,
21560,5,0.016,0.002,0.000002,0,,
21613,3,0.01,0.001,0.000001,0,,
21658,3,0.01,0.001,0.000001,0,,
21703,4,0.013,0.001,0.000001,0,,
21748,3,0.01,0.001,0.000001,0,,
21793,6,0.019,0.002,0.000002,0,,
21838,2,0.006,0.001,0.000001,0,,
21883,3,0.01,0.001,0.000001,0,,
21928,5,0.016,0.002,0.000002,0,,
21973,4,0.013,0.001,0.000001,0,,
22018,3,0.01,0.001,0.000001,0,,
22108,4,0.013,0.001,0.000001,0,,
22153,0,0,0,0,0,,
22198,4,0.013,0.001,0.000001,0,,
22243,3,0.01,0.001,0.000001,0,,
22296,4,0.013,0.001,0.000001,0,,
22341,4,0.013,0.001,0.000001,0,,
22386,1,0.003,0,0,0,,
22431,4,0.013,0.001,0.000001,0,,
22476,5,0.016,0.002,0.000002,0,,
22528,4,0.013,0.001,0.000001,0,,
22573,1,0.003,0,0,0,,
22618,5,0.016,0.002,0.000002,0,,
22663,3,0.01,0.001,0.000001,0,,
22708,3,0.01,0.001,0.000001,0,,
22753,4,0.013,0.001,0.000001,0,,
22798,4,0.013,0.001,0.000001,0,,
22843,4,0.013,0.001,0.000001,0,,
22896,3,0.01,0.001,0.000001,0,,
22941,2,0.006,0.001,0.000001,0,,
22986,5,0.016,0.002,0.000002,0,,
23031,4,0.013,0.001,0.000001,0,,
23076,4,0.013,0.001,0.000001,0,,
23121,4,0.013,0.001,0.000001,0,,
23166,3,0.01,0.001,0.000001,0,,
23211,4,0.013,0.001,0.000001,0,,
23256,4,0.013,0.001,0.000001,0,,
23301,2,0.006,0.001,0.000001,0,,
23346,4,0.013,0.001,0.000001,0,,
23391,4,0.013,0.001,0.000001,0,,
23436,3,0.01,0.001,0.000001,0,,
23489,3,0.01,0.001,0.000001,0,,
23534,4,0.013,0.001,0.000001,0,,
23579,3,0.01,0.001,0.000001,0,,
23624,4,0.013,0.001,0.000001,0,,
23669,5,0.016,0.002,0.000002,0,,
23714,4,0.013,0.001,0.000001,0,,
23759,4,0.013,0.001,0.000001,0,,
23804,4,0.013,0.001,0.000001,0,,
23849,4,0.013,0.001,0.000001,0,,
23894,5,0.016,0.002,0.000002,0,,
23939,4,0.013,0.001,0.000001,0,,
23984,4,0.013,0.001,0.000001,0,,
24029,4,0.013,0.001,0.000001,0,,
24082,4,0.013,0.001,0.000001,0,,
24127,4,0.013,0.001,0.000001,0,,
24172,3,0.01,0.001,0.000001,0,,
24217,4,0.013,0.001,0.000001,0,,
24262,2,0.006,0.001,0.000001,0,,
24307,3,0.01,0.001,0.000001,0,,
24352,3,0.01,0.001,0.000001,0,,
24397,5,0.016,0.002,0.000002,0,,
24442,3,0.01,0.001,0.000001,0,,
24487,5,0.016,0.002,0.000002,0,,
24532,5,0.016,0.002,0.000002,0,,
24577,4,0.013,0.001,0.000001,0,,
24622,3,0.01,0.001,0.000001,0,,
24675,4,0.013,0.001,0.000001,0,,
24720,2,0.006,0.001,0.000001,0,,
24765,1,0.003,0,0,0,,
24810,4,0.013,0.001,0.000001,0,,
24855,4,0.013,0.001,0.000001,0,,
24900,6,0.019,0.002,0.000002,0,,
24945,3,0.01,0.001,0.000001,0,,
24990,4,0.013,0.001,0.000001,0,,
25035,4,0.013,0.001,0.000001,0,,
25080,2,0.006,0.001,0.000001,0,,
25125,4,0.013,0.001,0.000001,0,,
25170,3,0.01,0.001,0.000001,0,,
25215,5,0.016,0.002,0.000002,0,,
25268,4,0.013,0.001,0.000001,0,,
25313,3,0.01,0.001,0.000001,0,,
25358,3,0.01,0.001,0.000001,0,,
25403,5,0.016,0.002,0.000002,0,,
25448,3,0.01,0.001,0.000001,0,,
25493,1,0.003,0,0,0,,
25538,5,0.016,0.002,0.000002,0,,
25583,4,0.013,0.001,0.000001,0,,
25628,4,0.013,0.001,0.000001,0,,
25673,3,0.01,0.001,0.000001,0,,
25718,5,0.016,0.002,0.000002,0,,
25763,3,0.01,0.001,0.000001,0,,
25808,3,0.01,0.001,0.000001,0,,
25861,3,0.01,0.001,0.000001,0,,
25906,4,0.013,0.001,0.000001,0,,
25951,4,0.013,0.001,0.000001,0,,
25996,3,0.01,0.001,0.000001,0,,
26041,4,0.013,0.001,0.000001,0,,
26086,3,0.01,0.001,0.000001,0,,
26131,3,0.01,0.001,0.000001,0,,
26176,4,0.013,0.001,0.000001,0,,
26221,4,0.013,0.001,0.000001,0,,
26326,4,0.013,0.001,0.000001,0,,
26404,4,0.013,0.001,0.000001,0,,
26483,3,0.01,0.001,0.000001,0,,
26550,5,0.016,0.002,0.000002,0,,
26603,5,0.016,0.002,0.000002,0,,
26648,1,0.003,0,0,0,,
26693,4,0.013,0.001,0.000001,0,,
26738,4,0.013,0.001,0.000001,0,,
26783,4,0.013,0.001,0.000001,0,,
26828,4,0.013,0.001,0.000001,0,,
26873,4,0.013,0.001,0.000001,0,,
26918,2,0.006,0.001,0.000001,0,,
26963,1,0.003,0,0,0,,
27008,4,0.013,0.001,0.000001,0,,
27053,1,0.003,0,0,0,,
27098,4,0.013,0.001,0.000001,0,,
27143,2,0.006,0.001,0.000001,0,,
27188,5,0.016,0.002,0.000002,0,,
27241,5,0.016,0.002,0.000002,0,,
27286,4,0.013,0.001,0.000001,0,,
27331,3,0.01,0.001,0.000001,0,,
27376,5,0.016,0.002,0.000002,0,,
27421,4,0.013,0.001,0.000001,0,,
27466,5,0.016,0.002,0.000002,0,,
27511,4,0.013,0.001,0.000001,0,,
27556,4,0.013,0.001,0.000001,0,,
27601,4,0.013,0.001,0.000001,0,,
27646,3,0.01,0.001,0.000001,0,,
27691,5,0.016,0.002,0.000002,0,,
27736,4,0.013,0.001,0.000001,0,,
27781,3,0.01,0.001,0.000001,0,,
27834,2,0.006,0.001,0.000001,0,,
27879,5,0.016,0.002,0.000002,0,,
27924,4,0.013,0.001,0.000001,0,,
27969,4,0.013,0.001,0.000001,0,,
28014,4,0.013,0.001,0.000001,0,,
28059,3,0.01,0.001,0.000001,0,,
28104,3,0.01,0.001,0.000001,0,,
28149,4,0.013,0.001,0.000001,0,,
28201,5,0.016,0.002,0.000002,0,,
28246,4,0.013,0.001,0.000001,0,,
28291,4,0.013,0.001,0.000001,0,,
28336,4,0.013,0.001,0.000001,0,,
28381,3,0.01,0.001,0.000001,0,,
28434,5,0.016,0.002,0.000002,0,,
28479,4,0.013,0.001,0.000001,0,,
28524,4,0.013,0.001,0.000001,0,,
28569,4,0.013,0.001,0.000001,0,,
28614,4,0.013,0.001,0.000001,0,,
28659,3,0.01,0.001,0.000001,0,,
28704,4,0.013,0.001,0.000001,0,,
28749,4,0.013,0.001,0.000001,0,,
28794,4,0.013,0.001,0.000001,0,,
28839,3,0.01,0.001,0.000001,0,,
28884,3,0.01,0.001,0.000001,0,,
28929,4,0.013,0.001,0.000001,0,,
28974,4,0.013,0.001,0.000001,0,,
29027,4,0.013,0.001,0.000001,0,,
29072,3,0.01,0.001,0.000001,0,,
29117,4,0.013,0.001,0.000001,0,,
29162,4,0.013,0.001,0.000001,0,,
29207,1,0.003,0,0,0,,
29252,2,0.006,0.001,0.000001,0,,
29297,4,0.013,0.001,0.000001,0,,
29342,4,0.013,0.001,0.000001,0,,
